#Note: Please remove semicolon (;) from your file editor's list of delimiter or separator characters.
#Id,Parent Id,Code,Name,Sizes,Description,Placements,Target Window,Labels,Special Ad Unit
66662813,64311053,community/muscular-dystrophy/sidebar,sidebar,300x250,No description,,,,yes
66662933,64311173,community/national-cervical-cancer-coalition/sidebar,sidebar,300x250,No description,,,,yes
66663053,64311293,community/national-osteoporosis-foundation/sidebar,sidebar,300x250,No description,,,,yes
66663293,64311533,community/nerve-diseases/sidebar,sidebar,300x250,No description,,,,yes
66658493,64306733,community/cystic-fibrosis/sidebar,sidebar,300x250,No description,,,,yes
66660293,64308533,community/head-and-neck-cancer-alliance/sidebar,sidebar,300x250,No description,,,,yes
66657293,64305533,community/cartilage-disorders/sidebar,sidebar,300x250,No description,,,,yes
66657533,64305773,community/cerebral-palsy/sidebar,sidebar,300x250,No description,,,,yes
66657653,64305893,community/chiropractic-therapy/sidebar,sidebar,300x250,No description,,,,yes
66657773,64306013,community/chronic-fatigue-syndrome/sidebar,sidebar,300x250,No description,,,,yes
66657893,64306133,community/circulatory-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658013,64306253,community/fight-colorectal-cancer/sidebar,sidebar,300x250,No description,,,,yes
66658133,64306373,community/communication-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658253,64306493,community/connective-tissue-disorders/sidebar,sidebar,300x250,No description,,,,yes
66662693,64310933,community/movement-disorders/sidebar,sidebar,300x250,No description,,,,yes
66658613,64306853,community/developmental-disabilities/sidebar,sidebar,300x250,No description,,,,yes
66658733,64306973,community/digestive-system-disorders/sidebar,sidebar,300x250,No description,,,,yes
66659813,64308053,community/food-borne-diseases/sidebar,sidebar,300x250,No description,,,,yes
66660173,64308413,community/head-and-brain-injuries/sidebar,sidebar,300x250,No description,,,,yes
66660053,64308293,community/hiv-and-aids/sidebar,sidebar,300x250,No description,,,,yes
66659933,64308173,community/genetics-and-birth-defects/sidebar,sidebar,300x250,No description,,,,yes
